pool_row_id,pool_row,name,path,parent,grandparent,condition,genotype,age,sex,branch_order,direction,depth,note,accept,channel,roi_id,step_y,step_x,analysis_date,analysis_time,analysis_version,status,num_timepoints,num_peaks,num_space_pixels,seconds_per_line,f0_baseline,baseline_method,baseline_percentile,manual_f0_baseline,detrend_method,detection_method,detection_source,peak_search_window_ms,width_search_window_ms,baseline_window_ms,peak_amplitude_mean,peak_amplitude_median,error_count,errors_text,peak_row_type,peak_id,peak_status,peak_warning_count,peak_warnings_text,onset_index,onset_time_sec,onset_value,peak_index,peak_time_sec,peak_value,peak_amplitude,peak_detection_method,onset_to_onset_interval_sec,peak_to_peak_interval_sec,baseline_mean,baseline_mean_status,baseline_mean_reason,baseline_std,baseline_std_status,baseline_std_reason,prominence,prominence_status,prominence_reason,rise_10_90_sec,rise_10_90_sec_status,rise_10_90_sec_reason,decay_90_10_sec,decay_90_10_sec_status,decay_90_10_sec_reason,decay_time_sec,decay_time_sec_status,decay_time_sec_reason,max_rise_slope,max_rise_slope_status,max_rise_slope_reason,max_decay_slope,max_decay_slope_status,max_decay_slope_reason,auc,auc_status,auc_reason,width_10_value,width_10_left_index,width_10_right_index,width_10_points,width_10_sec,width_10_status,width_20_value,width_20_left_index,width_20_right_index,width_20_points,width_20_sec,width_20_status,width_50_value,width_50_left_index,width_50_right_index,width_50_points,width_50_sec,width_50_status,width_80_value,width_80_left_index,width_80_right_index,width_80_points,width_80_sec,width_80_status,width_90_value,width_90_left_index,width_90_right_index,width_90_points,width_90_sec,width_90_status
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Control/20251029/20251029_A105_0002.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,0,20251029_A105_0002.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Control/20251029/20251029_A105_0002.oir,20251029,14d Control,,WT + 28d Saline,young,male,1,Away,,,True,0,1,0.0011219666666666666,0.381,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Control/20251029/20251029_A105_0003.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,1,20251029_A105_0003.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Control/20251029/20251029_A105_0003.oir,20251029,14d Control,,WT + 28d Saline,young,male,2,Away,,,True,0,1,0.0011219666666666666,0.381,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Control/20251030/20251030_A106_0002.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,2,20251030_A106_0002.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Control/20251030/20251030_A106_0002.oir,20251030,14d Control,,WT + 28d Saline,young,male,1,Away,,,True,0,1,0.0011419666666666667,0.274,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Treatment/20250717/20250717_A87_0004.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,3,20250717_A87_0004.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Treatment/20250717/20250717_A87_0004.oir,20250717,14d Treatment,,WT + 28d AngII,young,male,1,Away,,,True,0,1,0.0011139666666666666,0.495,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Treatment/20250717/20250717_A87_0005.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,4,20250717_A87_0005.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Treatment/20250717/20250717_A87_0005.oir,20250717,14d Treatment,,WT + 28d AngII,young,male,2,Away,,,True,0,1,0.0011179666666666667,0.495,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Treatment/20260102/20260102_A118_0002.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,5,20260102_A118_0002.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Treatment/20260102/20260102_A118_0002.oir,20260102,14d Treatment,,WT + 28d AngII,young,male,1,Away,,,True,0,1,0.0011339666666666667,0.309,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Treatment/20260102/20260102_A118_0003.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,6,20260102_A118_0003.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/14d Treatment/20260102/20260102_A118_0003.oir,20260102,14d Treatment,,WT + 28d AngII,young,male,1,Away,,,True,0,1,0.0011339666666666667,0.353,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/7d Control/20251014/20251014_A98_0002.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,7,20251014_A98_0002.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/7d Control/20251014/20251014_A98_0002.oir,20251014,7d Control,,WT + 14d Saline,young,male,1,Away,,,True,0,1,0.0011339666666666667,0.291,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/7d Control/20251014/20251014_A98_0003.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,8,20251014_A98_0003.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/7d Control/20251014/20251014_A98_0003.oir,20251014,7d Control,,WT + 14d Saline,young,male,2,Away,,,True,0,1,0.0011339666666666667,0.291,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/7d Control/20251014/20251014_A98_0004.oir|channel=0|roi_id=1|peak_row_type=not_analyzed|peak_id=none,9,20251014_A98_0004.oir,/Users/cudmore/Sites/cs_project/cloudscope-data/data-samples/velocity-sample-data/7d Control/20251014/20251014_A98_0004.oir,20251014,7d Control,,WT + 14d Saline,young,male,3,Away,,,True,0,1,0.0011339666666666667,0.291,,,,,,,,,,,,,,,,,,,,,,,not_analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
